ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10126,0.29848822793099766,0.8101579745265014,11,2.050008841169063,2003-05-28,Shipped,2,5,2003,Classic Cars,2.819368171201151,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Desconocido,Madrid,Desconocido,28023,Spain,EMEA,Sommer,Mart¡n,Large
10140,0.19581584247355846,0.8101579745265014,11,2.074466647177055,2003-07-24,Shipped,3,7,2003,Classic Cars,2.819368171201151,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,Desconocido,Burlingame,CA,94217,USA,Desconocido,Hirano,Juri,Large
10150,1.0171949261330746,0.8101579745265014,8,4.039888118432111,2003-09-19,Shipped,3,9,2003,Classic Cars,2.819368171201151,S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Desconocido,Singapore,Desconocido,79903,Singapore,Japan,Natividad,Eric,Large
10163,-1.4469423248454751,0.8101579745265014,1,0.7093800527886938,2003-10-20,Shipped,4,10,2003,Classic Cars,2.819368171201151,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,Desconocido,Hernandez,Maria,Medium
10174,-0.11220131389876072,0.8101579745265014,4,2.4223930562676608,2003-11-06,Shipped,4,11,2003,Classic Cars,2.819368171201151,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,Desconocido,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Large
10183,-1.2415975539305957,0.8101579745265014,8,0.9875875961296074,2003-11-13,Shipped,4,11,2003,Classic Cars,2.819368171201151,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,Desconocido,Philadelphia,PA,71270,USA,Desconocido,Cervantes,Francisca,Medium
10194,0.7091777697607561,0.8101579745265014,11,2.028993808031644,2003-11-25,Shipped,4,11,2003,Classic Cars,2.819368171201151,S10_1949,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Desconocido,Lyon,Desconocido,69004,France,EMEA,Saveley,Mary,Large
10206,1.222539697047954,0.8101579745265014,6,2.9926063856373895,2003-12-05,Shipped,4,12,2003,Classic Cars,2.819368171201151,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,Desconocido,Vancouver,BC,V3F 2K1,Canada,Desconocido,Tannamuri,Yoshi,Large
10215,-0.009528928441320991,0.8101579745265014,3,1.3691869304101696,2004-01-29,Shipped,1,1,2004,Classic Cars,2.819368171201151,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,Desconocido,Burbank,CA,94019,USA,Desconocido,Thompson,Steve,Medium
10228,-0.6255632411859583,0.8101579745265014,2,1.5798422742085816,2004-03-10,Shipped,1,3,2004,Classic Cars,2.819368171201151,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,Desconocido,Cambridge,MA,51247,USA,Desconocido,Tseng,Kyung,Medium
10245,-0.11220131389876072,0.8101579745265014,9,1.393644736418162,2004-05-04,Shipped,2,5,2004,Classic Cars,2.819368171201151,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,Desconocido,New Haven,CT,97823,USA,Desconocido,Murphy,Leslie,Medium
10258,-0.31754608481363966,0.8101579745265014,6,2.2409252584934407,2004-06-15,Shipped,2,6,2004,Classic Cars,2.819368171201151,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Desconocido,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Large
10270,-1.4469423248454751,0.8101579745265014,9,0.7338975914490153,2004-07-19,Shipped,3,7,2004,Classic Cars,2.819368171201151,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium
10280,-0.11220131389876072,0.8101579745265014,2,2.4223930562676608,2004-08-17,Shipped,3,8,2004,Classic Cars,2.819368171201151,S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Desconocido,Torino,Desconocido,10100,Italy,EMEA,Accorti,Paolo,Large
10291,0.19581584247355846,0.8101579745265014,11,1.9452757806725816,2004-09-08,Shipped,3,9,2004,Classic Cars,2.819368171201151,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Desconocido,Boras,Desconocido,S-844 67,Sweden,EMEA,Larsson,Maria,Large
10304,1.222539697047954,0.8101579745265014,6,3.594173927238502,2004-10-11,Shipped,4,10,2004,Classic Cars,2.819368171201151,S10_1949,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",Desconocido,Versailles,Desconocido,78000,France,EMEA,Tonini,Daniel,Large
10312,1.3252120825053932,0.8101579745265014,3,4.382101913863656,2004-10-21,Shipped,4,10,2004,Classic Cars,2.819368171201151,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,Desconocido,San Rafael,CA,97562,USA,Desconocido,Nelson,Valarie,Large
10322,0.5038329988458771,0.8101579745265014,1,1.328514424415528,2004-11-04,Shipped,4,11,2004,Classic Cars,2.819368171201151,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Desconocido,Nashua,NH,62005,USA,Desconocido,Young,Valarie,Medium
10333,-0.9335803975582769,0.8101579745265014,3,-0.2991460491270211,2004-11-18,Shipped,4,11,2004,Classic Cars,2.819368171201151,S10_1949,Mini Wheels Co.,6505555787,5557 North Pendale Street,Desconocido,San Francisco,CA,Desconocido,USA,Desconocido,Murphy,Julie,Medium
10347,-0.5228908557285186,0.8101579745265014,1,0.21221975721681646,2004-11-29,Shipped,4,11,2004,Classic Cars,2.819368171201151,S10_1949,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10357,-0.31754608481363966,0.8101579745265014,10,1.1609589043927455,2004-12-10,Shipped,4,12,2004,Classic Cars,2.819368171201151,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,Desconocido,San Rafael,CA,97562,USA,Desconocido,Nelson,Valarie,Medium
10369,0.6065053843033164,0.8101579745265014,2,0.5218629664059246,2005-01-20,Shipped,1,1,2005,Classic Cars,2.819368171201151,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Desconocido,Brickhaven,MA,58339,USA,Desconocido,Nelson,Allen,Medium
10381,0.09314345701611873,0.8101579745265014,3,2.5527079826841352,2005-02-17,Shipped,1,2,2005,Classic Cars,2.819368171201151,S10_1949,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,Desconocido,San Francisco,CA,Desconocido,USA,Desconocido,Brown,Julie,Large
10391,-1.1389251684731565,0.8101579745265014,4,-0.6175971094140341,2005-03-09,Shipped,1,3,2005,Classic Cars,2.819368171201151,S10_1949,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small
10411,-1.2415975539305957,0.8101579745265014,9,0.31839726185142453,2005-05-01,Shipped,2,5,2005,Classic Cars,2.819368171201151,S10_1949,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Desconocido,Montreal,Quebec,H1J 1C3,Canada,Desconocido,Fresnisre,Jean,Medium
10424,1.5305568534202727,0.8101579745265014,6,4.5869849113506795,2005-05-31,In Process,2,5,2005,Classic Cars,2.819368171201151,S10_1949,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Desconocido,Madrid,Desconocido,28034,Spain,EMEA,Freyre,Diego,Large
10107,0.4011606133884374,0.8056960576592047,5,0.18604056477353678,2003-02-24,Shipped,1,2,2003,Motorcycles,0.4301669487545078,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,Desconocido,NYC,NY,10022,USA,Desconocido,Yu,Kwai,Medium
10120,-0.6255632411859583,0.6287066885897711,3,-0.4127141119270105,2003-04-29,Shipped,2,4,2003,Motorcycles,0.4301669487545078,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small
10134,-0.8309080121008378,0.8101579745265014,5,-0.133648590489014,2003-07-01,Shipped,3,7,2003,Motorcycles,0.4301669487545078,S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Desconocido,Paris,Desconocido,75508,France,EMEA,Da Cunha,Daniel,Medium
10145,0.19581584247355846,0.8101579745265014,9,0.89004960511816,2003-08-25,Shipped,3,8,2003,Motorcycles,0.4301669487545078,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Desconocido,Pasadena,CA,90003,USA,Desconocido,Young,Julie,Medium
10159,0.19581584247355846,0.8101579745265014,17,0.7944121984989855,2003-10-10,Shipped,4,10,2003,Motorcycles,0.4301669487545078,S10_2016,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,Desconocido,San Francisco,CA,Desconocido,USA,Desconocido,Brown,Julie,Medium
10168,-0.8309080121008378,0.8101579745265014,4,0.05812580493244679,2003-10-28,Shipped,4,10,2003,Motorcycles,0.4301669487545078,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,Desconocido,Burlingame,CA,94217,USA,Desconocido,Hirano,Juri,Medium
10180,0.7091777697607561,0.8101579745265014,12,0.619976562976175,2003-11-11,Shipped,4,11,2003,Motorcycles,0.4301669487545078,S10_2016,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Desconocido,Lille,Desconocido,59000,France,EMEA,Rance,Martine,Medium
10188,0.29848822793099766,0.6287066885897711,4,0.05812037469132628,2003-11-18,Shipped,4,11,2003,Motorcycles,0.4301669487545078,S10_2016,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Desconocido,Bergen,Desconocido,N 5804,Norway,EMEA,Oeztan,Veysel,Medium
10201,-1.1389251684731565,0.8101579745265014,5,-0.2866999364781937,2003-12-01,Shipped,4,12,2003,Motorcycles,0.4301669487545078,S10_2016,Mini Wheels Co.,6505555787,5557 North Pendale Street,Desconocido,San Francisco,CA,Desconocido,USA,Desconocido,Murphy,Julie,Medium
10210,-1.2415975539305957,0.8101579745265014,2,-0.2958390322844662,2004-01-12,Shipped,1,1,2004,Motorcycles,0.4301669487545078,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Desconocido,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium
10223,1.222539697047954,0.8101579745265014,4,1.0146410573933329,2004-02-20,Shipped,1,2,2004,Motorcycles,0.4301669487545078,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10236,-1.3442699393880353,0.8101579745265014,1,-0.38109924812183055,2004-04-03,Shipped,2,4,2004,Motorcycles,0.4301669487545078,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Desconocido,Philadelphia,PA,71270,USA,Desconocido,Hernandez,Rosa,Small
10251,0.9145225406756355,0.8101579745265014,5,1.1960817039619496,2004-05-18,Shipped,2,5,2004,Motorcycles,0.4301669487545078,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Desconocido,Newark,NJ,94019,USA,Desconocido,Brown,William,Medium
10263,0.5038329988458771,0.8101579745265014,5,0.49855637151553756,2004-06-28,Shipped,2,6,2004,Motorcycles,0.4301669487545078,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Desconocido,Bridgewater,CT,97562,USA,Desconocido,King,Julie,Medium
10275,-1.3442699393880353,0.8101579745265014,4,-0.3526665056134271,2004-07-23,Shipped,3,7,2004,Motorcycles,0.4301669487545078,S10_2016,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Desconocido,Nantes,Desconocido,44000,France,EMEA,Labrune,Janine,Small
10285,1.222539697047954,0.8101579745265014,9,1.5914412692425677,2004-08-27,Shipped,3,8,2004,Motorcycles,0.4301669487545078,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Desconocido,Cambridge,MA,51247,USA,Desconocido,Hernandez,Marta,Medium
10298,0.4011606133884374,0.6287066885897711,1,0.1104353176489192,2004-09-27,Shipped,3,9,2004,Motorcycles,0.4301669487545078,S10_2016,Atelier graphique,40.32.2555,"54, rue Royale",Desconocido,Nantes,Desconocido,44000,France,EMEA,Schmitt,Carine,Medium
10308,-0.11220131389876072,0.8101579745265014,2,0.26612033058167717,2004-10-15,Shipped,4,10,2004,Motorcycles,0.4301669487545078,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,Desconocido,White Plains,NY,24067,USA,Desconocido,Frick,Steve,Medium
10318,1.0171949261330746,0.8101579745265014,4,1.092896262184891,2004-11-02,Shipped,4,11,2004,Motorcycles,0.4301669487545078,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,Desconocido,Allentown,PA,70267,USA,Desconocido,Yu,Kyung,Medium
10329,-1.5496147103029148,0.8101579745265014,2,-0.20520287773752977,2004-11-15,Shipped,4,11,2004,Motorcycles,0.4301669487545078,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,Desconocido,NYC,NY,10022,USA,Desconocido,Yu,Kwai,Medium
10339,0.5038329988458771,-0.7306906503132735,4,-0.43283858552062077,2004-11-23,Shipped,4,11,2004,Motorcycles,0.4301669487545078,S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Desconocido,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small
10361,-0.9335803975582769,-1.611671347333956,8,-1.207679691044696,2004-12-17,Shipped,4,12,2004,Motorcycles,0.4301669487545078,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small
10374,0.4011606133884374,0.8101579745265014,5,0.9416694772122932,2005-02-02,Shipped,1,2,2005,Motorcycles,0.4301669487545078,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,Desconocido,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium
10388,1.5305568534202727,-1.940861658432286,5,-0.7213472962676537,2005-03-03,Shipped,1,3,2005,Motorcycles,0.4301669487545078,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,Desconocido,New Bedford,MA,50553,USA,Desconocido,Benitez,Violeta,Small
10402,1.0171949261330746,0.8101579745265014,1,1.238046607343336,2005-04-07,Shipped,2,4,2005,Motorcycles,0.4301669487545078,S10_2016,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Desconocido,Paris,Desconocido,75016,France,EMEA,Perrier,Dominique,Medium
10417,1.0171949261330746,0.8101579745265014,5,1.2671255485451123,2005-05-13,Disputed,2,5,2005,Motorcycles,0.4301669487545078,S10_2016,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Desconocido,Madrid,Desconocido,28034,Spain,EMEA,Freyre,Diego,Medium
10107,-0.8309080121008378,0.8101579745265014,4,1.3638924453174093,2003-02-24,Shipped,1,2,2003,Motorcycles,2.2967304037909484,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,Desconocido,NYC,NY,10022,USA,Desconocido,Yu,Kwai,Medium
10120,1.119867311590515,0.8101579745265014,2,3.101194917329625,2003-04-29,Shipped,2,4,2003,Motorcycles,2.2967304037909484,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large
10134,-0.4202184702710794,0.8101579745265014,4,1.884343045056311,2003-07-01,Shipped,3,7,2003,Motorcycles,2.2967304037909484,S10_4698,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Desconocido,Paris,Desconocido,75508,France,EMEA,Da Cunha,Daniel,Large
10145,-0.21487369935619993,0.8101579745265014,8,0.8810516955810278,2003-08-25,Shipped,3,8,2003,Motorcycles,2.2967304037909484,S10_4698,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Desconocido,Pasadena,CA,90003,USA,Desconocido,Young,Julie,Medium
10159,-1.3442699393880353,0.8101579745265014,16,0.31430829028747753,2003-10-10,Shipped,4,10,2003,Motorcycles,2.2967304037909484,S10_4698,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,Desconocido,San Francisco,CA,Desconocido,USA,Desconocido,Brown,Julie,Medium
10168,-1.5496147103029148,0.8101579745265014,3,0.34162240312500025,2003-10-28,Shipped,4,10,2003,Motorcycles,2.2967304037909484,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,Desconocido,Burlingame,CA,94217,USA,Desconocido,Hirano,Juri,Medium
10180,0.6065053843033164,0.8101579745265014,11,2.899211668601097,2003-11-11,Shipped,4,11,2003,Motorcycles,2.2967304037909484,S10_4698,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Desconocido,Lille,Desconocido,59000,France,EMEA,Rance,Martine,Large
10188,1.0171949261330746,0.8101579745265014,3,2.8024447718288013,2003-11-18,Shipped,4,11,2003,Motorcycles,2.2967304037909484,S10_4698,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Desconocido,Bergen,Desconocido,N 5804,Norway,EMEA,Oeztan,Veysel,Large
10201,1.4278844679628335,0.8101579745265014,4,2.4501252976714842,2003-12-01,Shipped,4,12,2003,Motorcycles,2.2967304037909484,S10_4698,Mini Wheels Co.,6505555787,5557 North Pendale Street,Desconocido,San Francisco,CA,Desconocido,USA,Desconocido,Murphy,Julie,Large
10210,-0.11220131389876072,0.8101579745265014,1,1.39530639020112,2004-01-12,Shipped,1,1,2004,Motorcycles,2.2967304037909484,S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Desconocido,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium
10223,1.4278844679628335,0.8101579745265014,3,3.377686504476372,2004-02-20,Shipped,1,2,2004,Motorcycles,2.2967304037909484,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large
10237,0.4011606133884374,0.8101579745265014,9,1.8842996031273453,2004-04-05,Shipped,2,4,2004,Motorcycles,2.2967304037909484,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,Desconocido,Frick,Michael,Large
10251,0.8118501552181958,0.8101579745265014,4,1.9138021031365422,2004-05-18,Shipped,2,5,2004,Motorcycles,2.2967304037909484,S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Desconocido,Newark,NJ,94019,USA,Desconocido,Brown,William,Large
